,LoanID,Loanscore,Subject..Property.City,Subject..PropertyState,distancemiles,Male.Female,curbal,OrigTransdays,Origination.UPB,Repeat,Lending.Value,Interest.Rate,LTV,Credit.Score,Open.Current.Mortgage.Late,Closed.Past.Mortgage.Late,Foreclosure,Open.Current.Auto.Late,Closed.Past.Auto.Late,Open.Current.Revolving.Late,Closed.Revolving.Late,Open.Current.Education.Late,Closed.Past.Education.Late,Open.Current.Installment.Late,Closed.Past.Installment.Late,Bankrupcy,Charge.offs,Collections,Debt.High.Credit....,DOM,Yearbuilt,X..of.comarable.properties,Comparable.properties.lower.price,Comparable.properties.upper.price,X..of.comparable.sales,Comparable.sale.lower.price.range,Comparable.sale.upper.price.range,Rooms,Bedrooms,Baths,Square.feet.of.gross.living.area,Sale.Price,Price.of.Prior.Sale.Transfer,Appraisal.price,Indicated.Value.by.Cost.Approach,Indicated.Value.by.Income.Approach,Appraisal.Monthly.Rent,Market.Rent,Total...of.Comarable.Sales...prior.7.12.months.,Total...of.Comarable.Sales...prior.4.6.months.,Total...of.Comarable.Sales...prior.current.3.months.,Absorption.Rate...prior.7.12.months.,Absorption.Rate...prior.4.6.months.,Absorption.Rate...prior.current.3.months.,Total...of.Comparable.Active.listings.prior.7.12.months.,Total...of.Comparable.Active.listings.prior.4.6.months.,Total...of.Comparable.Active.listings.prior.current.3.months.,Median.Comparable.Sale.Price..prior.7.12.months.,Median.Comparable.Sale.Price..prior.4.6.months.,Median.Comparable.Sale.Price..prior.current.3.months.,Median.Comparable.sales.Days.on.market.prior.7.12.months.,Median.Comparable.sales.Days.on.market.prior.4.6.months.,Median.Comparable.sales.Days.on.market.prior.current.3.months.,Median.Comparable.List.Price.prior.7.12.months.,Median.Comparable.List.Price.prior.4.6.months.,Median.Comparable.List.Price.prior.current.3.months.,median.Comparable.listings.Days.on.Market.prior.7.12.months.,median.Comparable.listings.Days.on.Market.prior.4.6.months.,median.Comparable.listings.Days.on.Market.prior.current.3.months.,Median.Sale.Price.a.s..of.List.Price.prior.7.12.months.,Median.Sale.Price.a.s..of.List.Price.prior.4.6.months.,Median.Sale.Price.a.s..of.List.Price.prior.current.3.months.,Months.of.Housing.Supply.prior.7.12.months.,Months.of.Housing.Supply.prior.4.6.months.,Months.of.Housing.Supply.prior.current.3.months.,Foreclosure.sales,VFS.Internal.Value,WLV,X..of.home.purchased.in.last.3.years,X..of.years.investing,X..of.Properties.currently.owned,Current.Rent,Borrower.Rent,Expected.cost.to.Rehab63,Expected.flip.price,Borrower.Age.Group,Size,Origination.Quarter,Loan.Type,Loan.Term,Loan.Purpose,Prime.Sub.Prime,Current.NonCurrent,First.Payment.Default,Occupant,Assignment.Type,Location,Built.up,Growth,Property.Values,Demand.Supply,Marketing.Time,Units,Type,Condition,Rent.Own,Full.or.Part.Time.investor,Classifier,MR.UPB,MR.LV,MR.VFS,MR.APP,MR.MCSP,LV.VFS,APP.VFS,UPB.VFS,logloanscore
176,1405132,566.6666667,Hamden,CT,54.62,F,42998.6865,263,37895,1,75000,0.18,0.50527,618,N,N,N,N,N,Y,Y,N,N,N,N,Y,0,0,0.18,123.31,90,27,50000,124900,32,55000,110000,9,4,2,1654,75000,42566.78,75000,111064,161500,1240.52,1092.8,16,10,6,2.67,3.33,2,36,27,31,97500,83450,90000,33,60,104,99900,94900,1.00E+05,42,110,90,0.95,99.71,0.95,13.48,8.11,15.5,0,58000,9283,28.71,10.94,12.09,-3.64E-15,469.42,2260,46264,2. 25-34,"4. $30,000-$39,000",2014 Q2,Third Party Lending,10 Yr,Purchase,Prime,Non Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,PT,Good,0.028837578,0.014570667,0.018841379,0.014570667,0.012142222,1.293103448,1.293103448,0.653362069,2.134698844
177,1405143,259.375,Farmington,NH,0.01,M,71550,765,71550,1,135000,0.18,0.53,605,N,N,N,N,N,N,N,N,N,Y,N,N,2,1,0.88,76.82,35,9,74900,239000,3,120000,167000,5,3,1,1352,117081.06,50000,135000,146100,140951.45,2618.53,1060,3,0,0,0.5,0.5953,0.5394,1,2,7,166000,86164.73,108562.19,59,69.9,85.51,74900,79450,169000,223,184,45,0.98,173.5946,0.8704,2,3.226,10.0717,1,121000,34555,3,5,3,0,0,0,240000,5. 55-64,"6. >$60,000",2014 Q3,Third Party Lending,10 Yr,Refi-Cashout,Prime,Non Current,Default,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Bad,0.014814815,0.007851852,0.008760331,0.007851852,0.009763989,1.115702479,1.115702479,0.591322314,1.681758574
178,1405144,334.0909091,Milton,FL,494.22,F,19000,596.81,19000,2,34000,0.15,0.55882,542,N,N,N,N,N,N,N,N,N,N,N,N,2.59,6.06,1.5613,189.14,56,7,29500,69777,13,17100,69900,7,3,1,888,30903.52,24068.8,29000,31622,30000,17966.69,758.6,8,2,3,1.33,0.67,1,5,6,7,30050,34125,35000,168,449,91,32500,42450,49900,172,140,126,0.98,93.38,0.72,3.76,8.96,7,1,29000,1445,5.71,10.74,7.78,-3.38E-15,297.2,7235,34550,5. 55-64,"2. $10,001-19,999",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,increasing,in balance,3-6 mths,1,det.,c4,Own,PT,Bad,0.039926316,0.022311765,0.026158621,0.026158621,0.021674286,1.172413793,1,0.655172414,1.821609491
179,1405150,430,Conley,GA,6.89,M,33500,1012,33500,1,63000,0.15,0.53175,570,N,N,N,N,N,N,N,N,N,N,N,N,1.64,4.59,1.9634,92.13,47,38,30000,1.00E+05,163,30500,1.00E+05,6,2,1.1,1741,59980.33,18199,63000,127171,71467.76,1051.8,880,88,29,46,14.67,9.67,15.33,52,57,38,69250,70000,70050,56,62,31,65500,75000,79500,70,79,52,1,100.3,1,3.54,5.89,2.48,1,58000,14205,0,15,2,0,0,0,0,4. 45-54,"4. $30,000-$39,000",2014 Q3,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Non Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c3,Own,PT,Bad,0.026268657,0.013968254,0.015172414,0.013968254,0.012562455,1.086206897,1.086206897,0.577586207,1.987874348
180,1405151,432.1428571,Fort Myers,FL,7.89,F,55132.1277,813,55650,1,105000,0.15,0.53,475,N,N,N,N,Y,Y,Y,N,N,N,N,N,6,2,46.77,79.85,9,24,79900,2.00E+05,30,41600,144000,7,3,2,1770,91404.47,63000,105000,111018,120955.51,1695.51,1380,17,7,6,2.83,2.33,2,36.49,520.4,24,94300,98400,96100,49,59,54,1.00E+05,101400,1.00E+05,77,89,81,0.94,97,0.96,10.8456,746.6386,12,1,96000,27397,0,0,1,0,0,0,0,3. 35-44,"5. $50,000-$59,000",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Other,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Bad,0.024797844,0.013142857,0.014375,0.013142857,0.014360042,1.09375,1.09375,0.5796875,2.036886275
181,1405153,555.5555556,Avon,IN,8.44,M,41253.8881,620.29,39326,1,74200,0.15,0.53,650,N,N,N,N,N,N,Y,N,N,N,N,N,0,0,0.96,87.99,61,24,80000,189900,44,52900,187900,6,3,1,1604,75725.74,39033.49,74200,96694,96214.81,1310.9,1190,35,16,17,5.83,5.33,5.67,58,32,32,125000,90556,120000,52,44,41,124900,109900,125000,58,74,51,0.98,96.51,0.98,9.95,6,5.64,1,74200,23880,0,12,20,0,0,7000,0,4. 45-54,"4. $30,000-$39,000",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,OK,vacant,Refinance Transaction,suburban,Over 75%,slow,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.030259879,0.016037736,0.016037736,0.016037736,0.009916667,1,1,0.53,2.112960937
182,1405157,400,Augusta,GA,2.54,M,38738.15,571,39750,1,75000,0.18,0.53,558,N,N,N,N,N,N,Y,N,N,N,N,N,3,0,1.2688,89.7,89,35,29500,95000,16,25500,118000,6,2,2,1515,60085.66,18000,75000,103900,76000,800,790,8,4,4,1.33,1.33,1.33,26.06,22.52,35,26875,51750,69992,72,114,200,62180.72,61371.12,44900,153.92,148.52,111,0.97,88.05,0.94,15.1188,13.2858,26.32,0,68000,17205,3,14,3,0,800,15000,65000,4. 45-54,"4. $30,000-$39,000",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Bad,0.019874214,0.010533333,0.011617647,0.010533333,0.011287004,1.102941176,1.102941176,0.584558824,1.945910149
183,1405158,500,Indianapolis,IN,6.05,M,19476.5,1057,21625,1,30000,0.18,0.72083,99,N,N,N,N,N,N,N,N,N,N,N,N,2.06,7.81,3.4762,253,53,9,28000,105000,13,19900,102995,5,3,1.1,1293,30000,53000,34000,45986,0,8026.43,844.1,6,3,4,1,1,1.33,12.64,12.85,9,68350,34000,66450,120,35,130,63259.77,62837.1,64900,208.93,172.16,80,0.93,85,0.98,13.4042,12.3562,6.77,1,18000,-12495,1,1,1,0,0,0,0,4. 45-54,"3. $20,000-$29,999",2014 Q3,Third Party Lending,5 Yr,Purchase,Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.039033526,0.028136667,0.046894444,0.024826471,0.012702784,1.666666667,1.888888889,1.201388889,2.079441542
184,1405161,500,Kalamazoo,MI,2.32,M,23958.43,292,26260,1,48000,0.18,0.54708,484,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,3,7,0.84,115.27,63,8,30000,75000,4,30000,75000,6,2,1,862,40894.06,14750,48000,57866,52800.54,686.37,720,2,1,1,0.33,0.33,0.33,9,6,8,31500,33000,47400,6,50,123,47000,48200,69450,131,198,147,0.91,63.46,1,27.27,18.18,24.24,0,39000,3314,0,11,13,0,950,0,0,2. 25-34,"3. $20,000-$29,999",2014 Q3,Third Party Lending,5 Yr,Refi-Cashout,Sub Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,FT,Good,0.027418126,0.015,0.018461538,0.015,0.015189873,1.230769231,1.230769231,0.673333333,2.079441542
186,1405165,500,Decatur,GA,458.48,F,35598.77,933,35510,1,67000,0.15,0.53,549,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,7,1,0.86,114.24,50,17,53000,99900,14,44900,84900,6,3,1,1228,57340.47,1,67000,114100,72301.28,3058.42,780,21,10,13,3.5,3.33,4.33,27,32,28,40020,62000,39500,14,76,29,55000,53950,64950,46,102,62,0.96,84.1,0.98,7.71,9.61,6.47,1,58000,11954,0,0,8,0,0,0,0,3. 35-44,"4. $30,000-$39,000",2014 Q3,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,1,det.,c4,Rent,PT,Good,0.021965643,0.011641791,0.013448276,0.011641791,0.019746835,1.155172414,1.155172414,0.612241379,2.079441542
187,1405167,500,Union Mills,IN,1.54,M,27095.41,58,28000,2,52000,0.18,0.53846,646,N,N,N,N,N,N,Y,N,N,N,N,N,1,1,0.9,85.64,65,42,42500,70000,78,40000,70000,5,3,1,1008,48456.09,25000,52000,73916,57637.4,1139.5,815.8,39,20,19,6.5,6.67,6.33,68,45,42,58500,58000,58129,39,106,111,63450,61700,60950,108,127,73,0.92,95,0.95,10.46,6.75,6.64,0,42000,4365,0,3,3,0,0,0,0,5. 55-64,"3. $20,000-$29,999",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.029135714,0.015688462,0.01942381,0.015688462,0.014034303,1.238095238,1.238095238,0.666666667,2.079441542
188,1405179,625,Reading,PA,0.31,M,21775.2946,144,22655,1,41000,0.18,0.55256,670,N,N,N,N,N,Y,N,N,N,N,N,N,0,0,0.9,110.01,120,23,27000,155900,30,8299,137000,4,2,1,1016,35521.17,14000,41000,45000,64100,999.87,790,19,5,6,3.17,1.67,2,26.38,514.71,23,38000,35000,38000,40,39,30,58547.13,59785.35,54000,176.28,171.64,188,0.86,87,0.87,11.2394,12.337,11.5,0,32000,351,3,5,3,0,1000,0,0,1. <25,"3. $20,000-$29,999",2014 Q2,Third Party Lending,5 Yr,Refi-Cashout,Prime,Non Current,OK,tenant,Other,suburban,Over 75%,stable,stable,in balance,3-6 mths,2,att.,c3,Own,PT,Good,0.034870889,0.019268293,0.0246875,0.019268293,0.020789474,1.28125,1.28125,0.70796875,2.1690537
189,1405180,500,Columbus,OH,470.82,M,29335.37,326.66,33007,2,48000,0.18,0.70228,642,N,N,N,N,N,N,N,N,N,N,N,N,1.02,2.03,1.4685,17,38,16,64900,98000,49,29250,98000,4,2,1,945,47000,21652.88,48000,71638.72,59543.19,1173.87,810,29,15,5,4.83,5,1.67,25.2,19.71,16,50000,43200,40000,51,62,34,65820.67,68483.71,85500,86.9,105.04,66,0.96,95,0.95,6.8335,5.6919,9.58,1,36000,-7243,0,0,0,0,0,0,0,2. 25-34,"4. $30,000-$39,000",2014 Q2,Third Party Lending,5 Yr,Purchase,Prime,Current,OK,vacant,Purchase Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,PT,Good,0.024540249,0.016875,0.0225,0.016875,0.02025,1.333333333,1.333333333,0.916861111,2.079441542
190,1405181,500,Mineral Point,WI,34.8,M,37004.59,101,38240,1,90000,0.18,0.68901,675,N,N,N,N,N,N,N,N,N,N,N,N,2,5,2.28,58,116,46,59900,469900,28,25000,345000,8,4,1,1760,55500,42900,90000,113585,86102.55,1506.32,1182.4,15,4,9,2.5,1.33,3,34,28,46,110000,102000,123500,22,195,275,130000,129900,149900,203,239,91,0.96,92.84,0.94,13.6,21.05,15.33,0,44000,-4717,2,20,2,0,0,0,0,4. 45-54,"4. $30,000-$39,000",2014 Q2,Third Party Lending,10 Yr,Purchase,Prime,Current,OK,vacant,Purchase Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.030920502,0.013137778,0.026872727,0.013137778,0.009574089,2.045454545,2.045454545,0.869090909,2.079441542
191,1405183,500,Oklahoma City,OK,1165.44,M,22811.41,672.74,23557,2,42750,0.18,0.55104,628,N,N,N,N,N,N,N,N,N,N,N,Y,1,2,0.9,83.93,108,3,85000,148000,23,26000,176000,5,2,1,999,37920.25,34283.81,45000,50000,52145.35,2664.96,650,10,10,3,1.67,3.33,1,5,1,3,80000,82000,75000,51,31,7,70000,104000,104000,69,83,22,0.99,94,1.07,2.99,0.3,3,0,32000,-1956,7,30,7,0,675,0,0,6. 65+,"3. $20,000-$29,999",2014 Q4,Third Party Lending,5 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Rent,FT,Good,0.027592648,0.015204678,0.0203125,0.014444444,0.008666667,1.3359375,1.40625,0.73615625,2.079441542
192,1405185,500,Sumter,SC,234.98,M,69300,616,69300,1,132000,0.14,0.525,663,N,N,N,Y,N,Y,N,N,N,N,N,N,1,0,0.79,112.33,66,15,10000,160000,18,10000,160000,9,4,2,3448,90165.93,40000,52000,65099,105705.64,1943.72,1136.9,10,3,5,1.67,1,1.67,7,9,15,61500,49900,128000,140,369,143,79000,68500,125000,186,198,81,0.95,93,0.88,4.19,9,8.98,1,40000,2365,8,5,8,0,0,50000,275000,2. 25-34,"6. >$60,000",2015 Q1,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,Default,vacant,Other,rural,25-75%,stable,stable,in balance,Over 6 mths,1,det.,c6,Own,PT,Good,0.016405483,0.008612879,0.0284225,0.021863462,0.008882031,3.3,1.3,1.7325,2.079441542
193,1405187,500,Lawton,OK,1125.01,M,33385.42,231,34500,3,65000,0.18,0.53077,677,N,N,N,N,Y,N,N,N,N,N,N,N,1,1,0.3,122.68,8,4,31900,68000,5,39900,62000,5,3,2,1148,59876.11,33500.82,65000,68590,64130.79,1051.9,830,2,0,3,0.33,0,1,4,8,4,61799,0,60000,154,0,167,64900,59900,54950,212,134,128,0.95,0,1,12.12,0,4,1,60000,15085,0,0,0,0,0,0,0,3. 35-44,"4. $30,000-$39,000",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,over supply,Over 6 mths,1,det.,c4,Own,PT,Good,0.024057971,0.012769231,0.013833333,0.012769231,0.013833333,1.083333333,1.083333333,0.575,2.079441542
194,1405188,500,Wilton,NH,1183.59,M,1.00E+05,730,1.00E+05,1,209000,0.15,0.47847,700,N,N,N,N,N,N,Y,N,N,N,N,Y,0,1,0.75,78,155,10,179900,259900,15,175000,274000,9,4,3,1867,180370.93,5,209000,230500,217344.03,1681.08,1628.8,11,2,2,1.8,0.7,0.7,15,7,10,215000,194900,229500,44,69,150,210000,199900,202400,57,88,32,0.99,100,0.99,8.33,10,14.29,1,186000,67725,1,0,1,0,0,0,0,4. 45-54,"6. >$60,000",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Prime,Current,OK,vacant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,FT,Good,0.016288,0.007793301,0.008756989,0.007793301,0.007097168,1.123655914,1.123655914,0.537634409,2.079441542
195,1405192,500,Randlett,OK,1132.07,M,28056.75,500.84,28500,3,53000,0.18,0.53774,677,N,N,N,N,N,N,N,N,N,N,N,N,1.78,3.36,2.088366667,114.8,8,0,0,0,3,40500,124000,6,3,2,1070,50062.61,33887.46,53000,63416,46750,550,903.5,2,0,1,0.33,0,0,2,0,0,42750,0,124000,88,0,99,45000,0,0,88,0,0,0.01,0,0,6.06,0,0,0,40000,2826,0,6,3,0,600,0,0,3. 35-44,"3. $20,000-$29,999",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,PT,Good,0.031701754,0.01704717,0.0225875,0.01704717,0.00728629,1.325,1.325,0.7125,2.079441542
196,1405193,500,Randlett,OK,1132.07,M,28056.75,507.16,28500,3,53000,0.18,0.53774,677,N,N,N,N,N,N,N,N,N,N,N,N,1.78,3.37,2.133466667,114.8,8,0,0,0,3,40500,124000,6,3,2,1070,50062.61,33948.51,53000,63416,46750,550,898.6,2,0,1,0.33,0,0,2,0,0,42750,0,124000,88,0,99,45000,0,0,88,0,0,0.01,0,0,6.06,0,0,0,40000,2826,0,6,3,0,500,0,0,3. 35-44,"3. $20,000-$29,999",2014 Q4,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Other,rural,25-75%,stable,stable,in balance,3-6 mths,1,det.,c5,Own,PT,Good,0.031529825,0.016954717,0.022465,0.016954717,0.007246774,1.325,1.325,0.7125,2.079441542
197,1405195,1000,Maysville,GA,13.89,F,64761.5118,151,58300,6,110000,0.15,0.53,647,N,N,N,N,N,N,N,N,N,N,N,N,1.68,2.97,1.937,21,14,15,110000,149900,10,90000,134900,5,3,2,1297,111565.17,28204,110000,143460,147988.03,1668.65,1298.5,49,20,19,8.17,6.67,6.33,55,56,67,89000,89756,122000,52,56,90,135500,182400,214900,131,91,65,0.9,97.67,0.9,6.73,8.4,10.58,1,102000,30429,1,1,1,0,0,0,1100000,6. 65+,"5. $50,000-$59,000",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Prime,Non Current,Default,vacant,Refinance Transaction,suburban,Over 75%,stable,increasing,over supply,Under 3 mths,1,det.,c3,Own,PT,Good,0.022272727,0.011804545,0.012730392,0.011804545,0.010643443,1.078431373,1.078431373,0.571568627,2.197224577
198,1405196,500,Baltimore,MD,2327.89,M,43543.31,777,44997,1,125000,0.18,0.35998,660,N,Y,N,N,N,N,N,N,N,N,N,Y,1,0,0.98,122.8,95,87,945,295000,139,3900,3.00E+05,5,2,1.2,1456,105465.92,29000,125000,124312,120000,1200,1110,69,28,42,11.5,9.33,14,81,102,87,44900,62900,55000,43,48,41,64000,64950,85000,160,118,110,1,93.84,0.97,7.04,10.93,6.21,1,118000,61325,1,19,2,0,1250,0,0,5. 55-64,"5. $40,000-$49,999",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,S-Det./End Unit,c2,Rent,FT,Good,0.024668311,0.00888,0.00940678,0.00888,0.020181818,1.059322034,1.059322034,0.381330508,2.079441542
199,1405196,500,Baltimore,MD,2327.89,F,43543.31,777,44997,1,125000,0.18,0.35998,686,Y,Y,N,N,N,Y,Y,N,N,N,N,N,0,0,0.53,147.36,95,87,945,295000,139,3900,3.00E+05,5,2,1.2,1456,106018.22,29000,125000,124312,120000,1200,1110,69,28,42,11.5,9.33,14,81,102,87,44900,62900,55000,43,48,41,64000,64950,85000,160,118,110,1,93.84,0.97,7.04,10.93,6.21,1,118000,61325,1,19,2,0,1250,0,0,5. 55-64,"5. $40,000-$49,999",2014 Q2,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,S-Det./End Unit,c2,Rent,FT,Good,0.024668311,0.00888,0.00940678,0.00888,0.020181818,1.059322034,1.059322034,0.381330508,2.079441542
200,1405200,500,San Antonio,TX,9.04,M,23864.52,297,23805,2,35000,0.15,0.70419,499,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,7,1.7,117.89,65,0,0,0,7,26900,50000,6,3,1,1213,37178.84,25780.2,35000,56266.89,41397.57,2151.81,776.6,3,3,1,0.5,1,0.33,2,2,0,45000,36000,26900,122,130,23,39900,39900,26900,122,112,23,0.91,90,1,4,2,0,1,28000,-4377,4.55,12.43,5.48,-3.22E-15,318.3333333,10040,51407,5. 55-64,"3. $20,000-$29,999",2014 Q2,Third Party Lending,6 Month,Purchase,Sub Prime,Current,OK,vacant,Other,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c6,Own,FT,Good,0.032623398,0.022188571,0.027735714,0.022188571,0.028869888,1.25,1.25,0.850178571,2.079441542
201,1405207,500,Camden,SC,109,M,68931.82,1075.74,70490,2,133000,0.18,0.53,783,N,N,N,N,N,N,N,N,N,N,N,N,0,0,0.19,138.02,70,10,1.00E+05,2.00E+05,12,1.00E+05,2.00E+05,5,2,1,1050,125240.47,51762.38,133000,147081,141169.66,2695.55,1174.7,7,4,1,1.17,1.33,0.33,4,6,10,143500,15100,122000,127,179,28,144950,132200,124950,252,169,109,0.93,91.96,0.98,3.42,4.51,30.3,0,110000,24776,0,3,1,0,0,0,0,6. 65+,"6. >$60,000",2014 Q3,Third Party Lending,10 Yr,Refi-Cashout,Prime,Current,OK,tenant,Refinance Transaction,suburban,25-75%,stable,stable,in balance,3-6 mths,1,det.,c3,Own,PT,Good,0.016664775,0.008832331,0.010679091,0.008832331,0.009628689,1.209090909,1.209090909,0.640818182,2.079441542
202,1405209,275,Flint,MI,2.68,F,61822.82,310.63,62010,1,105000,0.18,0.689,551,N,N,N,N,N,N,N,N,Y,N,N,Y,3,5,1.1,21,48,4,70000,120000,4,70000,120000,9,4,3,2468,90000,52454.96,105000,135313,113973.35,1364.93,950,3.16,1.87,1.84,0.5254,0.594,0.5743,1.57,1.54,3.3,98059.23,95261.62,83002.85,96.66,98.35,92.63,86702.52,94602.87,103276.21,113.77,108,69.23,0.9259,88.0604,0.9116,0,0,0,1,84000,8274,6,15,3,0,0,0,0,3. 35-44,"6. >$60,000",2014 Q3,Third Party Lending,10 Yr,Purchase,Sub Prime,Non Current,Default,others,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Bad,0.01532011,0.009047619,0.011309524,0.009047619,0.01144539,1.25,1.25,0.738214286,1.714806428
203,1405209,275,Flint,MI,2.68,M,61822.82,303.23,62010,1,105000,0.18,0.689,576,N,N,N,N,N,N,N,N,N,N,N,Y,1,7,3.11,21,48,4,70000,120000,4,70000,120000,9,4,3,2468,90000,51173.38,105000,135313,113388.35,1242.4,950,3.37,1.96,1.83,0.4936,0.6042,0.4911,1.41,1.56,3.19,98199.22,95608.26,82834.39,93.41,97.38,89.32,85513.52,94075.82,99987.09,129.87,102.69,74.68,0.9207,89.7902,0.9123,0,0,0,1,84000,8274,6,15,3,0,0,0,0,3. 35-44,"6. >$60,000",2014 Q3,Third Party Lending,10 Yr,Purchase,Sub Prime,Non Current,Default,others,Purchase Transaction,urban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c4,Own,FT,Bad,0.01532011,0.009047619,0.011309524,0.009047619,0.011468667,1.25,1.25,0.738214286,1.714806428
204,1405210,490.9090909,Westland,MI,1.29,F,26676.12,143,29659,1,42000,0.18,0.70617,587,N,N,N,N,N,N,N,N,N,N,N,N,1,4,1.08,34,57,6,45000,90000,20,40000,80000,7,4,2,1505,53000,15000,55000,53461,59154.75,864.79,1110,11,6,3,1.83,2,1,13,8,6,53500,52000,55000,144,110,89,56900,54000,56900,144,110,89,0.94,94,0.97,7.1,4,6,0,49000,9507,0,0,0,0,1500,0,0,5. 55-64,"3. $20,000-$29,999",2014 Q2,Third Party Lending,5 Yr,Purchase,Prime,Non Current,Default,tenant,Other,suburban,Over 75%,stable,stable,in balance,3-6 mths,1,det.,c3,Rent,PT,Good,0.037425402,0.026428571,0.022653061,0.020181818,0.020181818,0.857142857,1.12244898,0.605285714,2.068013995
205,1405212,490.9090909,Miami,FL,2717.13,M,92981.87,576.32,92750,1,175000,0.15,0.53,459,Y,Y,Y,N,N,N,N,Y,N,N,N,N,5,6,1.31,89.32,67,12,150000,2.00E+05,10,150000,2.00E+05,3.7,1.7,1,595,161184.57,71646.77,175000,175000,175796,6909.88,1620,6,3,1,1,1,0.33,12.56,504.99,12,180000,170000,175000,56,81,72,187897.15,196186.63,189000,135.57,145.08,72,1,100,0.95,14.9584,13.0586,36.36,0,168000,57845,0,0,0,0,0,0,0,3. 35-44,"6. >$60,000",2014 Q2,Third Party Lending,6 Month,Refi-Cashout,Sub Prime,Non Current,OK,tenant,Refinance Transaction,suburban,Over 75%,stable,stable,in balance,Under 3 mths,3,det.,c3,Rent,FT,Good,0.017466307,0.009257143,0.009642857,0.009257143,0.009257143,1.041666667,1.041666667,0.552083333,2.068013995
206,1405218,177.5,Durham,NC,2.02,M,51675,566.31,51675,2,97500,0.18,0.53,559,N,N,N,N,N,Y,N,N,N,N,N,N,1,2,0.63,95.1,65,8,99900,155000,17,35500,189900,9,3,3,2151,85454.95,35269.8,97500,145330,98000,1000,1000,8,3,6,1.33,1,2,8,8,8,150295,105000,89500,21,157,34,152450,115900,97400,42,136,40,0.98,92,0.92,6.02,8,4,0,88000,23849,30,15,5,0,1000,0,0,3. 35-44,"5. $50,000-$59,000",2014 Q3,Third Party Lending,10 Yr,Refi-Cashout,Sub Prime,Non Current,Default,others,Refinance Transaction,suburban,Over 75%,stable,declining,in balance,3-6 mths,1,det.,c4,Own,FT,Bad,0.019351717,0.01025641,0.011363636,0.01025641,0.011173184,1.107954545,1.107954545,0.587215909,1.458615023
